PARNAZ;PARNIDK;VYSNAZORI;VYSDRUKOD;DRUHODKOD;VYSBOD;VYSKBO;VYSPDL;VYSPDLBOD;VYSPDLKBO;VYSIDKPER;VYSNIDK;VYSWEBURL;DOKNAZPRI;CR_OBRKOD;RVVOBRSKUK;DUVHODPOP;VYSAUTGARJ;AUTSEZDOM;VYSNAVSEZ;VYRROZKODN;VYSROKUPLK
Vysok· ökola ekonomick· v Praze / Fakulta managementu v Jind¯ichovÏ Hradci;orjk:31160;Manaûersk˝ audit - protokol ¯ÌzenÈho rozhovoru;F/P;F;40,00;23,45;0,50;20,00;11,73;RIV/61384399:31160/08:00029953!RIV09-MSM-31160___;niFGPfmJkefnJ8EDLV0cUXzyKaY=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31160%2F08%3A00029953!RIV09-MSM-31160___;;AE;1;F: uûitn˝ nebo pr˘myslov˝ vzor;Stejskalov·, Irena;Stejskalov·, Irena;P(2E06044);0;2008
Vysok· ökola ekonomick· v Praze / Fakulta mezin·rodnÌch vztah˘;orjk:31120;MandatornÌ soci·lnÌ v˝daje st·tu jako obÏù dob˝v·nÌ renty;C;BC;20,00;21,60;0,09;1,85;2,00;RIV/61384399:31120/08:00029443!RIV09-MPS-31120___;RR!MoNpWnnscAJrmwSYarti4-9I=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31120%2F08%3A00029443!RIV09-MPS-31120___;FenomÈn dob˝v·nÌ renty a jeho vliv na ËeskÈ ve¯ejnÈ finance;AH;1;"kniha v oborech II. kategorie (obory mimo NRRE) napsan· v jinÈm neû ""svÏtovÈm jazyce""";Dost·lov·, Ivana;Dost·lov·, Ivana;P(1J032/05-DP1);0;2008
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;Marketing a RFID;J;Jrec;10,00;10,80;1,00;10,00;10,80;RIV/61384399:31130/08:00029383!RIV09-MSM-31130___;z5gyHo.WINtyRWKj876mdkXeu1U=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F08%3A00029383!RIV09-MSM-31130___;Ekonomika a management;AE;1;"J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze ""Seznam recenzovan˝ch periodik"", I. kategorie (obory NRRE)";ätÏdroÚ, BohumÌr;ätÏdroÚ, BohumÌr;Z(MSM6138439905);0;2008
Vysok· ökola ekonomick· v Praze / Fakulta mezin·rodnÌch vztah˘;orjk:31120;Marketing in a Digital Environment;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31120/08:00029449!RIV09-MSM-31120___;aRnGZPkqn8jFZRpTDYw-gf6Qxo4=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31120%2F08%3A00029449!RIV09-MSM-31120___;»esk· republika a Slovensko v mezin·rodnÌm obchodÏ a podnik·nÌ. NovÈ trendy v mezin·rodnÌm podnik·nÌ;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Cook, Gina;Cook, Gina;S;0;2008
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;Marketing management po roce 2020;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31130/08:00030327!RIV09-MSM-31130___;Gnr4B.nf-ijxjr1jfkxULNhtNIQ=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F08%3A00030327!RIV09-MSM-31130___;Lidsk˝ kapit·l a investice do vzdÏl·nÌ;AE;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;ätÏdroÚ, BohumÌr;"ätÏdroÚ, BohumÌr; NÏmec, Otakar";Z(MSM6138439905);0;2008
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;Marketing obchodnÌ firmy;B;BC;40,00;43,20;1,00;40,00;43,20;RIV/61384399:31130/08:00029813!RIV10-MSM-31130___;7uFYfSmsP0DvoKKkG!SSU6dVACw=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F08%3A00029813!RIV10-MSM-31130___;Marketing obchodnÌ firmy;AE;1;kniha v oborech I. kategorie (obory NRRE);Zamazalov·, Marcela;Zamazalov·, Marcela;Z(MSM6138439905);0;2008
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;Marketing umÏnÌ a kulturnÌho dÏdictvÌ, anal˝za aktu·lnÌch problÈm˘ a trendy jejich ¯eöenÌ;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31130/08:00031639!RIV10-MSM-31130___;Bfgy+iFGdG+PSMEMqkuZK65sB9c=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F08%3A00031639!RIV10-MSM-31130___;äpecifik· marketingu sluûieb a region·lnÈho marketingu;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;»ern·, Jitka;»ern·, Jitka;V;0;2008
Vysok· ökola ekonomick· v Praze / Fakulta mezin·rodnÌch vztah˘;orjk:31120;MarketingovÈ aplikace mezin·rodnÌch pravidel obchodu;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31120/08:00028988!RIV10-MSM-31120___;F!kZij5cV51RnWcxMWX4so2DPyE=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31120%2F08%3A00028988!RIV10-MSM-31120___;»esk· republika a Slovensko v mezin·rodnÌm obchodÏ a podnik·nÌ. NovÈ trendy v mezin·rodnÌm podnik·nÌ;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;ätÏrbov·, Ludmila;ätÏrbov·, Ludmila;V;0;2008
Vysok· ökola ekonomick· v Praze / Fakulta financÌ a ˙ËetnictvÌ;orjk:31110;Measuring Performance - Conceptual Framework Questions;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31110/08:00029927!RIV09-GA0-31110___;FmAw3HmJ+ZT8zbBHLbuiIgNhobA=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31110%2F08%3A00029927!RIV09-GA0-31110___;Integrating Perspectives on Performance Management;AE;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Wagner, Jaroslav;Wagner, Jaroslav;P(GA402/07/0153), Z(MSM6138439903);0;2008
Vysok· ökola ekonomick· v Praze / Fakulta financÌ a ˙ËetnictvÌ;orjk:31110;Measuring Performance - Conceptual Framework Questions;J;Jrec;10,00;10,80;1,00;10,00;10,80;RIV/61384399:31110/08:00030349!RIV09-MSM-31110___;4xwxn7-03Nep1fVBtebUTp1yS8w=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31110%2F08%3A00030349!RIV09-MSM-31110___;European Financial and Accounting Journal;AE;1;"J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze ""Seznam recenzovan˝ch periodik"", I. kategorie (obory NRRE)";Wagner, Jaroslav;Wagner, Jaroslav;Z(MSM6138439903);0;2008
Vysok· ökola ekonomick· v Praze / Fakulta mezin·rodnÌch vztah˘;orjk:31120;MÏkk· data v hodnocenÌ konkurenceschopnosti n·rodnÌch ekonomik;J;Jrec;4,00;4,32;1,00;4,00;4,32;RIV/61384399:31120/08:00029524!RIV09-MSM-31120___;hRkyTQ0rjoPQ3382SqpdHKt-GEI=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31120%2F08%3A00029524!RIV09-MSM-31120___;Scientia et Societas;AH;1;"J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze ""Seznam recenzovan˝ch periodik"", II. kategorie (ostatnÌ obory)";KlvaËov·, Eva;KlvaËov·, Eva;P(2D06028);0;2008
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;Men and women as Reference Groups in the Advertising of Biz magazine during the Period 2003-2006;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31130/08:00030087!RIV09-GA0-31130___;+afnv6IqaxUBTUBI3FguWN-eYnQ=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F08%3A00030087!RIV09-GA0-31130___;Trgovjata v svremennovo obËestvo - teorija i praktika;AE;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;V·vra, Old¯ich;V·vra, Old¯ich;P(GA402/05/0152);0;2008
Vysok· ökola ekonomick· v Praze / Fakulta managementu v Jind¯ichovÏ Hradci;orjk:31160;MÏ¯enÌ potenci·lu a zatÌûenÌ lokality cestovnÌm ruchem;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31160/08:00030687!RIV09-MSM-31160___;7AtkzafPMr+9!-QL3yP9gyAnxpU=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31160%2F08%3A00030687!RIV09-MSM-31160___;SbornÌk p¯ÌspÏvk˘ z Mezin·rodnÌ vÏdeckÈ konference doktorand˘;AE;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Musil, Martin;"Musil, Martin; Luötick˝, Martin; Vor·Ëek, Jan";S;0;2008
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;MÏ¯enÌ spokojenosti z·kaznÌk˘ na nadpodnikovÈ ˙rovni (makro˙rovni);D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31130/08:00038461!RIV12-MSM-31130___;9bWvHCu3IXvLmUk9tGfVGA6VvwU=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F08%3A00038461!RIV12-MSM-31130___;SbornÌk p¯ÌspÏvk˘ Mezin·rodnÌ vÏdeck· konference doktorand˘ a mlad˝ch vÏdeck˝ch pracovnÌk˘;AE;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;T˘mov·, Miluöe;T˘mov·, Miluöe;I;0;2008
Vysok· ökola ekonomick· v Praze / Fakulta financÌ a ˙ËetnictvÌ;orjk:31110;MÏ¯enÌ zisku kapit·lov˝ch spoleËnostÌ a rozdÌlnÈ poûadavky spoleËnÌk˘, statut·rnÌch org·n˘ a managementu na obsah a strukturu v˝sledovky;J;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31110/08:00029878!RIV09-MSM-31110___;r5j5C5J6ibv7-+dHW2Jb.qevjEs=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31110%2F08%3A00029878!RIV09-MSM-31110___;⁄ËetnictvÌ;AE;1;»l·nek v Ëasopise m· ISSN, ale to nespad· do û·dnÈ bodovanÈ kategorie.;FibÌrov·, Jana;FibÌrov·, Jana;Z(MSM6138439903);0;2008
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;Methodology of continuity management;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31130/08:00030110!RIV10-MSM-31130___;ccHgqwfXwF5XeETbChi3!+DMC30=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F08%3A00030110!RIV10-MSM-31130___;Security and safety management and public administration;AE;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Kopeck˝, ZdenÏk;Kopeck˝, ZdenÏk;V;0;2008
Vysok· ökola ekonomick· v Praze / Fakulta managementu v Jind¯ichovÏ Hradci;orjk:31160;Methodology of selecting the most informative variables for decision-making problems of classification type;J;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31160/08:00030655!RIV09-MSM-31160___;gZP6qt58-8ecEAYZ+y7LzH.tIH8=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31160%2F08%3A00030655!RIV09-MSM-31160___;Series of Information and Management Sciences;BD;3;»l·nek v Ëasopise m· ISSN, ale to nespad· do û·dnÈ bodovanÈ kategorie.;Pudil, Pavel;"Pudil, Pavel; Somol, Petr; St¯Ìteck˝, Rudolf";P(2C06019);0;2008
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;Methods for the determination of the number of clusters in statistical software packages;D;neu;0,00;0,00;0,50;0,00;0,00;RIV/61384399:31140/08:00029348!RIV09-MSM-31140___;KjQiDqyf6HbBUxsMLa6M5fveA7Q=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F08%3A00029348!RIV09-MSM-31140___;Mezin·rodnÌ statisticko-ekonomickÈ dny na VäE v Praze;BB;3;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;ÿezankov·, Hana;ÿezankov·, Hana;P(1ET100300414), Z(AV0Z10300504), Z(MSM6138439910);0;2008
Vysok· ökola ekonomick· v Praze / Fakulta financÌ a ˙ËetnictvÌ;orjk:31110;Metoda DCF pro ocenÏnÌ podniku a propoËet vlivu kapit·lovÈ struktury p¯i pouûitÌ r˘zn˝ch reagenËnÌch funkcÌ;J;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31110/08:00029595!RIV09-MSM-31110___;y8iRUrZ.H8uTB..wN-G!MnJ56iE=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31110%2F08%3A00029595!RIV09-MSM-31110___;Znalectvo;AE;1;»l·nek v Ëasopise m· ISSN, ale to nespad· do û·dnÈ bodovanÈ kategorie.;Ma¯Ìkov·, Pavla;"Ma¯Ìkov·, Pavla; Ma¯Ìk, Miloö";Z(MSM6138439903);0;2008
Vysok· ökola ekonomick· v Praze / Fakulta financÌ a ˙ËetnictvÌ;orjk:31110;Metoda ocenÏnÌ p¯i po¯ÌzenÌ souboru majetku a z·vazk˘;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31110/08:00030188!RIV09-MSM-31110___;.YYKS7XcL6yfgDSZ9qvmCn38Hss=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31110%2F08%3A00030188!RIV09-MSM-31110___;SbornÌk pedagogickÈ konference - 8. roËnÌk;AE;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Cardov·, ZdeÚka;Cardov·, ZdeÚka;Z(MSM6138439903);0;2008
Vysok· ökola ekonomick· v Praze / Fakulta financÌ a ˙ËetnictvÌ;orjk:31110;MetodickÈ problÈmy pokraËujÌcÌ hodnoty v r·mci metody DCF pro oceÚov·nÌ podniku;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31110/08:00028971!RIV09-MSM-31110___;0hR2yePqMUKX33DqYoJBUSdIZwI=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31110%2F08%3A00028971!RIV09-MSM-31110___;V˝voj v oblasti soudnÌho znalectvÌ a oceÚov·nÌ majetku;AH;1;»l·nek ve sbornÌku m· mÈnÏ neû 2 strany;Ma¯Ìk, Miloö;"Ma¯Ìk, Miloö; Ma¯Ìkov·, Pavla";Z(MSM6138439903);0;2008
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;Metodika hodnocenÌ v˝znamnosti faktor˘ vymezujÌcÌch informaËnÌ systÈm pro podporu strategickÈho pl·novanÌ;J;Jrec;4,00;4,04;1,00;4,00;4,04;RIV/61384399:31140/08:00030597!RIV10-MSM-31140___;LyMKK6xBAo.uM2v+Ir0J-eZr5Hg=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F08%3A00030597!RIV10-MSM-31140___;SystÈmov· integrace;IN;3;"J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze ""Seznam recenzovan˝ch periodik"", II. kategorie (ostatnÌ obory)";Moln·r, ZdenÏk;Moln·r, ZdenÏk;V;0;2008
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;Metody diskontu cash flow;C;BC;40,00;43,20;0,10;4,09;4,42;RIV/61384399:31130/08:00030316!RIV10-MSM-31130___;uJHcWBIcDDI5coQuoqg4-GQG1c0=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F08%3A00030316!RIV10-MSM-31130___;Stanovenie hodnoty majetku;AE;1;kniha v oborech I. kategorie (obory NRRE);Kislingerov·, Eva;Kislingerov·, Eva;Z(MSM6138439905);0;2008
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;Metody hodnocenÌ investic;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31130/08:00028683!RIV09-MSM-31130___;-+jqD3rj0ZZ3CkaGhVijh0UuitE=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F08%3A00028683!RIV09-MSM-31130___;HradeckÈ ekonomickÈ dny;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Scholleov·, Hana;Scholleov·, Hana;Z(MSM6138439905);0;2008
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;Metody hodnocenÌ person·lnÌ pr·ce;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31130/08:00028189!RIV09-MSM-31130___;LXy!7-kA2fj3a7cjCTb0nPSDegg=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F08%3A00028189!RIV09-MSM-31130___;Konkurenceschopnost podnik˘;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Dvo¯·kov·, Zuzana;Dvo¯·kov·, Zuzana;Z(MSM6138439905);0;2008
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;Metody pro uspo¯·d·nÌ hodnocen˝ch jednotek p¯i anal˝ze obalu dat;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31140/08:00029822!RIV09-GA0-31140___;.kEGyetLx!suIVwhqNMcYmId8.o=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F08%3A00029822!RIV09-GA0-31140___;AIESA Budovanie spoleËnosti zaloûenej na vedomostiach;BB;3;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Jablonsk˝, Josef;Jablonsk˝, Josef;P(GA402/06/0150);0;2008
Vysok· ökola ekonomick· v Praze / Fakulta mezin·rodnÌch vztah˘;orjk:31120;Metody v˝uky odborn˝ch p¯edmÏt˘ cestovnÌho ruchu na vyööÌch a vysok˝ch ökol·ch;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31120/08:00031322!RIV10-MSM-31120___;gQ+Iv5DVmUDyaiChoyZnd0FNinA=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31120%2F08%3A00031322!RIV10-MSM-31120___;CestovnÌ ruch pro 21. stoletÌ. ManaûerskÈ a marketignovÈ p¯Ìstupy v cestovnÌm ruchu;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;JarolÌmkov·, LibÏna;JarolÌmkov·, LibÏna;V;0;2008
Vysok· ökola ekonomick· v Praze / Fakulta mezin·rodnÌch vztah˘;orjk:31120;Mezin·rodnÌ ekonomie II;B;BC;20,00;21,60;1,00;20,00;21,60;RIV/61384399:31120/08:00029170!RIV09-MSM-31120___;!xSGMkRDrzq!1uEJ!z1iey4SxtI=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31120%2F08%3A00029170!RIV09-MSM-31120___;Mezin·rodnÌ ekonomie II;AH;1;"kniha v oborech II. kategorie (obory mimo NRRE) napsan· v jinÈm neû ""svÏtovÈm jazyce""";Cihelkov·, Eva;"Cihelkov·, Eva; Br˘ûek, AntonÌn; éambersk˝, Pavel";Z(MSM6138439909);0;2008
Vysok· ökola ekonomick· v Praze / Fakulta n·rodohospod·¯sk·;orjk:31150;Mezin·rodnÌ mÏnov˝ fond ve 21. stoletÌ;B;BC;20,00;21,60;1,00;20,00;21,60;RIV/61384399:31150/08:00029847!RIV10-MSM-31150___;VqdiqM2suLTr3YsAZ0FiP76HV9Q=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31150%2F08%3A00029847!RIV10-MSM-31150___;Mezin·rodnÌ mÏnov˝ fond ve 21. stoletÌ;AH;1;"kniha v oborech II. kategorie (obory mimo NRRE) napsan· v jinÈm neû ""svÏtovÈm jazyce""";Sedl·Ëek, Petr;Sedl·Ëek, Petr;V;0;2008
Vysok· ökola ekonomick· v Praze / Fakulta mezin·rodnÌch vztah˘;orjk:31120;Mezin·rodnÌ vztahy v datech (od starovÏku do souËasnosti);B;BC;40,00;43,20;1,00;40,00;43,20;RIV/61384399:31120/08:00031093!RIV10-MSM-31120___;t8L4XEGW!InyPDCX4!LaN6DwJDI=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31120%2F08%3A00031093!RIV10-MSM-31120___;Mezin·rodnÌ vztahy v datech (od starovÏku do souËasnosti);AD;1;kniha v oborech I. kategorie (obory NRRE);Vesel˝, ZdenÏk;Vesel˝, ZdenÏk;V;0;2008
Vysok· ökola ekonomick· v Praze / Fakulta n·rodohospod·¯sk·;orjk:31150;MigraËnÌ toky do Austr·lie;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31150/08:00031304!RIV09-MSM-31150___;CNq9pbGWuWg19P8k6.oFxqEIpmY=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31150%2F08%3A00031304!RIV09-MSM-31150___;Reprodukce lidskÈho kapit·lu;AH;1;»l·nek ve sbornÌku m· mÈnÏ neû 2 strany;äkop, Vladislav;äkop, Vladislav;S;0;2008
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;Migration - Human Resources;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31140/08:00029052!RIV09-MSM-31140___;GgnFFdMwr67ataWhg48+rs7-db0=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F08%3A00029052!RIV09-MSM-31140___;MVD 2008 - Konurenciesschopnosù a ekonomick˝ rast: EurÛpskÈ a n·rodnÈ perspektivy;AO;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;KaËerov·, Eva;KaËerov·, Eva;P(2D06026);0;2008
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;Mikroekonomie II;B;BC;40,00;43,20;0,50;20,00;21,60;RIV/61384399:31130/08:00030059!RIV09-MSM-31130___;EmZcwaDkSJkK3.jzqp56G!kGcFE=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F08%3A00030059!RIV09-MSM-31130___;Mikroekonomie II;AE;1;kniha v oborech I. kategorie (obory NRRE);Mac·kov·, Libuöe;"Mac·kov·, Libuöe; BreÚov·, LubomÌra; NeËadov·, Marta; Soukup, Jind¯ich; Soukupov·, Jana; äumpÌkov·, MarkÈta";Z(MSM6138439905);0;2008
Vysok· ökola ekonomick· v Praze / Fakulta managementu v Jind¯ichovÏ Hradci;orjk:31160;Mikroekonomie II;B;BC;40,00;43,20;0,50;20,00;21,60;RIV/61384399:31160/08:00030059!RIV09-MSM-31160___;EmZcwaDkSJkK3.jzqp56G!kGcFE=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31160%2F08%3A00030059!RIV09-MSM-31160___;Mikroekonomie II;AE;1;kniha v oborech I. kategorie (obory NRRE);Mac·kov·, Libuöe;"Mac·kov·, Libuöe; BreÚov·, LubomÌra; NeËadov·, Marta; Soukup, Jind¯ich; Soukupov·, Jana; äumpÌkov·, MarkÈta";Z(MSM6138439905);0;2008
Vysok· ökola ekonomick· v Praze / Fakulta financÌ a ˙ËetnictvÌ;orjk:31110;MikrosimulaËnÌ model pro anal˝zu dopadu danÌ ze spot¯eby;J;Jrec;10,00;10,80;0,50;5,00;5,40;RIV/61384399:31110/08:00030276!RIV09-GA0-31110___;yXJHe0JYJvELp1TVBAQrmbQJ-R4=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31110%2F08%3A00030276!RIV09-GA0-31110___;»esk˝ finanËnÌ a ˙ËetnÌ Ëasopis;AE;1;"J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze ""Seznam recenzovan˝ch periodik"", I. kategorie (obory NRRE)";Klazar, Stanislav;"Klazar, Stanislav; Zelen˝, Martin";P(GA402/07/0823);0;2008
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;MikrosimulaËnÌ model pro anal˝zu dopadu danÌ ze spot¯eby;J;Jrec;10,00;10,80;0,50;5,00;5,40;RIV/61384399:31140/08:00030276!RIV09-GA0-31140___;yXJHe0JYJvELp1TVBAQrmbQJ-R4=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F08%3A00030276!RIV09-GA0-31140___;»esk˝ finanËnÌ a ˙ËetnÌ Ëasopis;AE;1;"J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze ""Seznam recenzovan˝ch periodik"", I. kategorie (obory NRRE)";Klazar, Stanislav;"Klazar, Stanislav; Zelen˝, Martin";P(GA402/07/0823);0;2008
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;MÌra p¯erozdÏlov·nÌ p¯Ìjm˘ v »R;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31140/08:00030389!RIV09-MSM-31140___;VCfndih3wTkBMtqM5Yu3sP6SvzU=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F08%3A00030389!RIV09-MSM-31140___;Reprodukce lidskÈho kapit·lu - Vz·jemnÈ vazby a souvislosti;BB;3;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Marek, Luboö;"Marek, Luboö; Vrabec, Michal";Z(MSM6138439910);0;2008
